LOCATION,SITE_NAME,SHORT_NAME,LATITUDE,LONGITUDE,CH4MAX1H,CH4DLYAV,COMAX8N,COMXN8N,COMAX8O,COMAX1HR,CODLYAVG,H2SDLYAV,NMHCMX1H,NMHCDAVG,NO2MAX1H,NO2DLYAV,NOMAX1HR,NODLYAV,NOXMAX1H,NOXDLYAV,OZMAX1HR,OZHMX1HR,OZMAX8O,OZH1MX8O,OZDLYAV,OZMX8ST,OZHMX8ST,SO2MAX1H,SO2MX24N,SO2MX24O,SO2DLYAV,SULFURMX,THCMAX1H,THCDLYAV,TRSMAX1H,DAYOFWK
2179,Bishop-W South Street,Bishop-W_Sth,37.3538,-118.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046736292,10.55874674,0.040582245,9.973890339,0.03043589,0.040971279,9.966057441,NA,NA,NA,NA,NA,NA,NA,NA,4.013020833
2180,Victorville-Civic,Victrvll-Civ,34.5097,-116.6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066807229,12.06492637,0.055459333,10.61133333,0.03854067,0.055891333,10.604,0.007202797,0.003793131,0.004414664,0.003586608,NA,NA,NA,NA,4.006662225
2183,Yosemite National Park-Wawona Valley,Wawona,37.5393,-119.6523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054508405,12.78826305,0.045830719,9.439479136,0.03002078,0.046300089,9.44451021,NA,NA,NA,NA,NA,NA,NA,NA,4.000883652
2188,Redlands-Grove,Redlands-Grv,34.0666,-116.85,NA,NA,1.369402873,1.364409713,1.390558824,1.812585499,1.078880985,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096234138,12.85959885,0.073152965,9.685480573,0.038505525,0.073620041,9.684253579,NA,NA,NA,NA,NA,NA,NA,NA,3.99959167
2199,Palm Springs-Fire Station,Plm_Sprng-FS,33.8194,-116.4899,NA,NA,0.695879622,0.69188926,0.71653859,1.080681923,0.461571945,NA,NA,NA,0.034645548,0.017542017,0.024450662,0.005931785,0.055800189,0.02348171,0.066854025,13.37226008,0.056005894,10.73641555,0.041296295,0.056482225,10.73190274,0.004125777,0.001716281,0.002246615,0.001724907,NA,2.861435523,2.041009582,NA,3.999817101
2207,Coalinga-Cherry,Coalinga,36.14,-120.359,NA,NA,0.983695652,1.059782609,1.032608696,1.52173913,0.736782609,NA,NA,NA,0.031071429,0.017455,0.032857143,0.011503571,0.057142857,0.028631429,0.050445969,10.92024014,0.044135739,9.35395189,0.029876378,0.044595361,9.360824742,NA,NA,NA,NA,NA,NA,NA,NA,4.016267123
2208,Truckee-Fire Station,Truckee-Fire,39.3274,-120.1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045246817,13.25865535,0.038545232,10.50913547,0.027647533,0.039031417,10.48328877,NA,NA,NA,NA,NA,NA,NA,NA,4.005789356
2209,Mammoth Lakes-Sierra Park Road,Mmth_Lk-Srra,37.6477,-118.9733,NA,NA,1.369448795,1.370981946,1.430758759,2.528528529,0.817813814,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052949153,9.254237288,0.049010169,10.22372881,0.04107108,0.049366102,10.22033898,NA,NA,NA,NA,NA,NA,NA,NA,4.013927577
2210,Cajon-3 miles NW,Cajon-3mi_NW,34.3136,-116.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.017703333,0.003157895,0.000417037,0.031929825,0.018120185,0.148513514,14.11486486,0.120239726,11.52054795,0.084654676,0.120951724,11.54482759,NA,NA,NA,NA,NA,NA,NA,NA,3.993333333
2211,Riverside-UCR Weather Shack,Rvrside-UCRW,33.9583,-117.3973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06992638,0.040846542,0.065239264,0.015862995,0.120895706,0.056708625,0.10135,12.5625,0.077130163,9.610763454,0.039040795,0.077618273,9.617021277,NA,NA,NA,NA,NA,NA,NA,NA,3.997613365
2220,Mt Baldy-Fire Department,Mt_Baldy-FD,34.2377,-116.3427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15619883,13.75438596,0.125205882,10.48823529,0.079155,0.125647059,10.48823529,NA,NA,NA,NA,NA,NA,NA,NA,4.029239766
2221,San Bernardino-4th Street,S_Brnrdn-4th,34.1066,-117.2736,NA,NA,1.491698585,1.48669737,1.590227096,2.049416342,1.043071336,NA,NA,NA,0.054480605,0.032825608,0.072181379,0.021036574,0.112578376,0.05375474,0.072834207,13.41722009,0.056853863,9.945810512,0.028154698,0.057350425,9.948374315,0.006263441,0.00171186,0.002278706,0.001572426,NA,NA,NA,NA,4.000232504
2225,Oakland-Alice Street,Oakland-Alic,37.8013,-122.2672,NA,NA,1.357987197,1.341470628,1.420130654,1.94965765,0.951968683,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025600573,9.270966862,0.019073463,9.833310617,0.012259108,0.01956072,9.843669075,NA,NA,NA,NA,NA,NA,NA,NA,4.001559541
2236,Richmond-13th Street,Richmnd-13th,37.9508,-122.3569,2.344869456,1.920781264,1.404896492,1.404689792,1.422377997,2.050388951,1.041952532,NA,NA,NA,0.036134702,0.020232208,0.059380642,0.017676893,0.094307786,0.039589568,0.032401095,8.980509021,0.026199259,10.01691366,0.017923124,0.026654156,10.01546392,0.005207829,0.001221467,0.00161023,0.00110585,NA,2.60551456,2.065530459,NA,3.998416218
2238,Davis-Golf Course,Davis-GlfCrs,38.545,-121.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05878225,12.78224974,0.048281603,9.821171634,0.026372939,0.048765673,9.822199383,NA,NA,NA,NA,NA,NA,NA,NA,3.998973306
2244,Redding-Placer,Redding-Plcr,40.5808,-121.6061,NA,NA,1.095572327,1.108150943,1.124660377,1.754716981,0.647742138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050577223,10.0975039,0.044420641,9.931196247,0.033276138,0.044843628,9.944487881,NA,NA,NA,NA,NA,NA,NA,NA,4
